Input	CurrentTime[s]	TotalTime[s]	WordsInFile	WordsInTrie	Height	Average	height	
./data/othello.txt	0,01051	0,01051	28534	3665	27	14	
./data/titus.txt	0,00613	0,00613	22185	3306	27	14	
./data/allswell.txt	0,00699	0,00699	24872	3388	28	14	
./data/taming_shrew.txt	0,00583	0,00583	22559	3149	26	13	
./data/henryviii.txt	0,00754	0,00754	26548	3515	27	14	
./data/2henryvi.txt	0,00758	0,00758	27370	3935	33	15	
./data/2henryiv.txt	0,00645	0,00645	28411	3963	33	15	
./data/pericles.txt	0,00440	0,00440	20042	3144	25	13	
./data/1henryvi.txt	0,00569	0,00569	23365	3725	26	13	
./data/troilus_cressida.txt	0,00622	0,00622	28186	4119	28	14	
./data/1henryiv.txt	0,00579	0,00579	26588	3723	28	14	
./data/twelfth_night.txt	0,00465	0,00465	21856	3030	32	14	
./data/julius_caesar.txt	0,00452	0,00452	21167	2793	27	13	
./data/hamlet.txt	0,00713	0,00713	32861	4554	26	14	
./data/richardii.txt	0,00361	0,00361	24392	3513	27	14	
./data/3henryvi.txt	0,00405	0,00405	26523	3448	30	14	
./data/tempest.txt	0,00393	0,00393	17908	3084	28	14	
./data/winters_tale.txt	0,00576	0,00576	26653	3714	29	14	
./data/two_gentlemen.txt	0,00567	0,00567	18579	2638	26	13	
./data/midsummer.txt	0,00234	0,00234	17479	2914	26	13	
./data/merchant.txt	0,00299	0,00299	22542	3160	29	14	
./data/cleopatra.txt	0,00388	0,00388	27638	3782	29	14	
./data/john.txt	0,00303	0,00303	22182	3437	28	14	
./data/cymbeline.txt	0,00402	0,00402	29789	4057	27	13	
./data/merry_wives.txt	0,00317	0,00317	24134	3188	28	14	
./data/much_ado.txt	0,00280	0,00280	22838	2907	27	13	
./data/comedy_errors.txt	0,00198	0,00198	16465	2438	25	13	
./data/timon.txt	0,00262	0,00262	20152	3187	27	14	
./data/henryv.txt	0,00384	0,00384	27948	4393	31	14	
./data/romeo_juliet.txt	0,00329	0,00329	26507	3545	27	14	
./data/richardiii.txt	0,00426	0,00426	32065	3896	26	14	
./data/asyoulikeit.txt	0,00299	0,00299	23149	3170	29	15	
./data/macbeth.txt	0,00249	0,00249	18705	3204	27	14	
./data/lll.txt	0,00319	0,00319	23407	3637	34	13	
./data/measure.txt	0,00310	0,00310	23569	3229	25	13	
./data/lear.txt	0,00379	0,00379	28447	4007	27	14	
./data/coriolanus.txt	0,00423	0,00423	29919	3883	26	13	
