Input                       CurrentTime[s]              TotalTime[s]                WordsInFile                 WordsInTrie                 Height                      Average height              
./data/othello.txt          0,01013                     0,01013                     28534                       3665                        27                          14                          
./data/titus.txt            0,00634                     0,01647                     22185                       5389                        28                          14                          
./data/allswell.txt         0,00683                     0,02330                     24872                       6771                        29                          15                          
./data/taming_shrew.txt     0,00671                     0,03001                     22559                       7819                        29                          15                          
./data/henryviii.txt        0,00784                     0,03785                     26548                       8854                        29                          15                          
./data/2henryvi.txt         0,00778                     0,04562                     27370                       9908                        29                          15                          
./data/2henryiv.txt         0,00676                     0,05238                     28411                       10921                       29                          16                          
./data/pericles.txt         0,00561                     0,05799                     20042                       11522                       29                          16                          
./data/1henryvi.txt         0,00614                     0,06413                     23365                       12202                       30                          16                          
./data/troilus_cressida.txt 0,00691                     0,07105                     28186                       13157                       30                          16                          
./data/1henryiv.txt         0,00499                     0,07604                     26588                       13805                       30                          16                          
./data/twelfth_night.txt    0,00394                     0,07998                     21856                       14275                       30                          16                          
./data/julius_caesar.txt    0,00497                     0,08495                     21167                       14592                       30                          16                          
./data/hamlet.txt           0,00463                     0,08959                     32861                       15451                       30                          16                          
./data/richardii.txt        0,00335                     0,09293                     24392                       15841                       30                          16                          
./data/3henryvi.txt         0,00359                     0,09652                     26523                       16165                       30                          16                          
./data/tempest.txt          0,00237                     0,09890                     17908                       16575                       30                          16                          
./data/winters_tale.txt     0,00357                     0,10246                     26653                       17063                       30                          16                          
./data/two_gentlemen.txt    0,00243                     0,10489                     18579                       17278                       30                          16                          
./data/midsummer.txt        0,00247                     0,10736                     17479                       17585                       30                          16                          
./data/merchant.txt         0,00321                     0,11058                     22542                       17874                       30                          16                          
./data/cleopatra.txt        0,00410                     0,11468                     27638                       18354                       30                          16                          
./data/john.txt             0,00299                     0,11767                     22182                       18639                       31                          16                          
./data/cymbeline.txt        0,00401                     0,12168                     29789                       19045                       31                          16                          
./data/merry_wives.txt      0,00317                     0,12485                     24134                       19508                       31                          16                          
./data/much_ado.txt         0,00308                     0,12793                     22838                       19716                       31                          16                          
./data/comedy_errors.txt    0,00217                     0,13009                     16465                       19878                       31                          16                          
./data/timon.txt            0,00274                     0,13283                     20152                       20123                       31                          16                          
./data/henryv.txt           0,00381                     0,13664                     27948                       20778                       31                          17                          
./data/romeo_juliet.txt     0,00342                     0,14007                     26507                       21054                       31                          17                          
./data/richardiii.txt       0,00441                     0,14448                     32065                       21282                       31                          17                          
./data/asyoulikeit.txt      0,00305                     0,14753                     23149                       21519                       31                          17                          
./data/macbeth.txt          0,00249                     0,15002                     18705                       21779                       31                          17                          
./data/lll.txt              0,00310                     0,15312                     23407                       22170                       39                          17                          
./data/measure.txt          0,00343                     0,15655                     23569                       22398                       39                          17                          
./data/lear.txt             0,00423                     0,16078                     28447                       22744                       39                          17                          
./data/coriolanus.txt       0,00426                     0,16505                     29919                       23086                       39                          17                          
0,16505                     
