Input First                 Input Second                MergeTime[s]                SuccesiveAddTime[s]         
3henryvi.txt                twelfth_night.txt           0.00321                     0.00525                     
3henryvi.txt                romeo_juliet.txt            0.00131                     0.00482                     
3henryvi.txt                lear.txt                    0.00127                     0.00533                     
3henryvi.txt                hamlet.txt                  0.00155                     0.00744                     
3henryvi.txt                measure.txt                 0.00104                     0.00396                     
3henryvi.txt                asyoulikeit.txt             0.00109                     0.00453                     
3henryvi.txt                troilus_cressida.txt        0.00130                     0.00570                     
3henryvi.txt                taming_shrew.txt            0.00117                     0.00400                     
3henryvi.txt                coriolanus.txt              0.00148                     0.00559                     
3henryvi.txt                henryviii.txt               0.00131                     0.00542                     
3henryvi.txt                two_gentlemen.txt           0.00112                     0.00377                     
3henryvi.txt                cleopatra.txt               0.00239                     0.00872                     
3henryvi.txt                pericles.txt                0.00137                     0.00681                     
3henryvi.txt                richardiii.txt              0.00708                     0.00326                     
3henryvi.txt                timon.txt                   0.00122                     0.00350                     
3henryvi.txt                lll.txt                     0.00117                     0.00406                     
3henryvi.txt                comedy_errors.txt           0.00088                     0.00475                     
3henryvi.txt                richardii.txt               0.00109                     0.00526                     
3henryvi.txt                julius_caesar.txt           0.00160                     0.00320                     
3henryvi.txt                allswell.txt                0.00537                     0.00368                     
3henryvi.txt                winters_tale.txt            0.00099                     0.00526                     
3henryvi.txt                1henryvi.txt                0.01045                     0.00794                     
3henryvi.txt                tempest.txt                 0.00077                     0.00381                     
3henryvi.txt                cymbeline.txt               0.00083                     0.00307                     
3henryvi.txt                othello.txt                 0.00088                     0.00309                     
3henryvi.txt                titus.txt                   0.00081                     0.00264                     
3henryvi.txt                much_ado.txt                0.00070                     0.00199                     
3henryvi.txt                1henryiv.txt                0.00097                     0.00289                     
3henryvi.txt                merchant.txt                0.00071                     0.00335                     
3henryvi.txt                macbeth.txt                 0.00102                     0.00342                     
3henryvi.txt                john.txt                    0.00089                     0.00373                     
3henryvi.txt                2henryvi.txt                0.00101                     0.00414                     
3henryvi.txt                2henryiv.txt                0.00095                     0.00412                     
3henryvi.txt                henryv.txt                  0.00122                     0.00471                     
3henryvi.txt                merry_wives.txt             0.00086                     0.00775                     
3henryvi.txt                midsummer.txt               0.00074                     0.00222                     
twelfth_night.txt           3henryvi.txt                0.00094                     0.00286                     
twelfth_night.txt           romeo_juliet.txt            0.00085                     0.00287                     
twelfth_night.txt           lear.txt                    0.00108                     0.00335                     
twelfth_night.txt           hamlet.txt                  0.00118                     0.00385                     
twelfth_night.txt           measure.txt                 0.00097                     0.00277                     
twelfth_night.txt           asyoulikeit.txt             0.00095                     0.00268                     
twelfth_night.txt           troilus_cressida.txt        0.00124                     0.00351                     
twelfth_night.txt           taming_shrew.txt            0.00102                     0.00267                     
twelfth_night.txt           coriolanus.txt              0.00113                     0.00346                     
twelfth_night.txt           henryviii.txt               0.00113                     0.00312                     
twelfth_night.txt           two_gentlemen.txt           0.00082                     0.00237                     
twelfth_night.txt           cleopatra.txt               0.00079                     0.00785                     
twelfth_night.txt           pericles.txt                0.00077                     0.00235                     
twelfth_night.txt           richardiii.txt              0.00087                     0.00310                     
twelfth_night.txt           timon.txt                   0.00079                     0.00256                     
twelfth_night.txt           lll.txt                     0.00085                     0.00286                     
twelfth_night.txt           comedy_errors.txt           0.00058                     0.00181                     
twelfth_night.txt           richardii.txt               0.00059                     0.00198                     
twelfth_night.txt           julius_caesar.txt           0.00052                     0.00152                     
twelfth_night.txt           allswell.txt                0.00063                     0.00200                     
twelfth_night.txt           winters_tale.txt            0.00064                     0.00210                     
twelfth_night.txt           1henryvi.txt                0.00062                     0.00217                     
twelfth_night.txt           tempest.txt                 0.00073                     0.00227                     
twelfth_night.txt           cymbeline.txt               0.00067                     0.00232                     
twelfth_night.txt           othello.txt                 0.00065                     0.00236                     
twelfth_night.txt           titus.txt                   0.00056                     0.00207                     
twelfth_night.txt           much_ado.txt                0.00059                     0.00252                     
twelfth_night.txt           1henryiv.txt                0.00069                     0.00321                     
twelfth_night.txt           merchant.txt                0.00064                     0.00258                     
twelfth_night.txt           macbeth.txt                 0.00061                     0.00261                     
twelfth_night.txt           john.txt                    0.00065                     0.00284                     
twelfth_night.txt           2henryvi.txt                0.00070                     0.00331                     
twelfth_night.txt           2henryiv.txt                0.00069                     0.00330                     
twelfth_night.txt           henryv.txt                  0.00075                     0.00381                     
twelfth_night.txt           merry_wives.txt             0.00068                     0.00272                     
twelfth_night.txt           midsummer.txt               0.00060                     0.00241                     
romeo_juliet.txt            3henryvi.txt                0.00074                     0.00306                     
romeo_juliet.txt            twelfth_night.txt           0.00082                     0.00282                     
romeo_juliet.txt            lear.txt                    0.00096                     0.00383                     
romeo_juliet.txt            hamlet.txt                  0.00127                     0.00503                     
romeo_juliet.txt            measure.txt                 0.00096                     0.00295                     
romeo_juliet.txt            asyoulikeit.txt             0.00086                     0.00280                     
romeo_juliet.txt            troilus_cressida.txt        0.00100                     0.00366                     
romeo_juliet.txt            taming_shrew.txt            0.00100                     0.00286                     
romeo_juliet.txt            coriolanus.txt              0.00095                     0.00313                     
romeo_juliet.txt            henryviii.txt               0.00078                     0.00259                     
romeo_juliet.txt            two_gentlemen.txt           0.00066                     0.00197                     
romeo_juliet.txt            cleopatra.txt               0.00074                     0.00246                     
romeo_juliet.txt            pericles.txt                0.00064                     0.00195                     
romeo_juliet.txt            richardiii.txt              0.00072                     0.00251                     
romeo_juliet.txt            timon.txt                   0.00060                     0.00182                     
romeo_juliet.txt            lll.txt                     0.00063                     0.00204                     
romeo_juliet.txt            comedy_errors.txt           0.00048                     0.00129                     
romeo_juliet.txt            richardii.txt               0.00064                     0.00194                     
romeo_juliet.txt            julius_caesar.txt           0.00057                     0.00172                     
romeo_juliet.txt            allswell.txt                0.00060                     0.00192                     
romeo_juliet.txt            winters_tale.txt            0.00065                     0.00207                     
romeo_juliet.txt            1henryvi.txt                0.00082                     0.00307                     
romeo_juliet.txt            tempest.txt                 0.00064                     0.00202                     
romeo_juliet.txt            cymbeline.txt               0.00078                     0.00281                     
romeo_juliet.txt            othello.txt                 0.00080                     0.00280                     
romeo_juliet.txt            titus.txt                   0.00073                     0.00247                     
romeo_juliet.txt            much_ado.txt                0.00066                     0.00197                     
romeo_juliet.txt            1henryiv.txt                0.00065                     0.00222                     
romeo_juliet.txt            merchant.txt                0.00067                     0.00187                     
